제목,장르,감독,배우,평점
Movie 3797,SF,Director B,"Actor A, Actor H",2.8
Movie 1819,로맨스,Director F,"Actor I, Actor H, Actor V, Actor U, Actor V",5.2
Movie 8904,드라마,Director E,Actor Q,3.6
Movie 8267,SF,Director U,Actor B,6.5
Movie 3239,액션,Director X,"Actor R, Actor N, Actor W, Actor Q",2.9
Movie 8116,스릴러,Director F,Actor U,2.3
Movie 4260,로맨스,Director U,"Actor H, Actor T, Actor C, Actor M",4.5
Movie 4668,SF,Director M,Actor F,2.9
Movie 2714,코미디,Director D,Actor E,3.4
Movie 5051,스릴러,Director Z,"Actor C, Actor D, Actor H, Actor I",0.3
Movie 4072,애니메이션,Director V,"Actor Y, Actor P, Actor R, Actor J, Actor U",7.6
Movie 1226,로맨스,Director C,Actor Y,8.1
Movie 5582,액션,Director Q,"Actor X, Actor E, Actor V, Actor T, Actor P",1.5
Movie 8649,코미디,Director N,Actor N,1.2
Movie 4884,애니메이션,Director P,"Actor Y, Actor C, Actor D, Actor S, Actor J",7.4
Movie 5866,스릴러,Director P,Actor Y,7.3
Movie 9914,드라마,Director E,"Actor M, Actor R, Actor A, Actor T, Actor I",3.9
Movie 4181,코미디,Director P,Actor B,8.2
Movie 2393,로맨스,Director L,"Actor R, Actor W, Actor V",7.6
Movie 6089,애니메이션,Director K,"Actor V, Actor K, Actor M",2.8
Movie 7699,애니메이션,Director H,"Actor M, Actor L, Actor P, Actor H",4.3
Movie 2654,드라마,Director A,"Actor T, Actor I, Actor P, Actor M",2.0
Movie 7302,SF,Director C,"Actor X, Actor C",8.9
Movie 6419,스릴러,Director J,"Actor P, Actor J, Actor Q",9.4
Movie 535,로맨스,Director E,Actor P,1.7
Movie 2166,로맨스,Director Z,Actor Y,2.6
Movie 8118,코미디,Director P,"Actor C, Actor Q, Actor Y",8.5
Movie 4083,애니메이션,Director Z,"Actor U, Actor U, Actor Y, Actor A, Actor X",8.6
Movie 7545,코미디,Director V,"Actor O, Actor O, Actor X",4.6
Movie 2014,애니메이션,Director M,"Actor R, Actor Z, Actor I, Actor O, Actor W",2.4
Movie 6340,코미디,Director C,Actor Q,9.2
Movie 4316,애니메이션,Director I,"Actor I, Actor S",4.6
Movie 4386,애니메이션,Director C,"Actor E, Actor K, Actor G, Actor Q, Actor X",0.8
Movie 2997,드라마,Director Q,"Actor O, Actor S, Actor Z, Actor K",1.5
Movie 7260,SF,Director N,"Actor L, Actor P",1.7
Movie 206,로맨스,Director C,"Actor K, Actor R",8.1
Movie 2857,액션,Director H,"Actor R, Actor I, Actor O",7.2
Movie 7446,액션,Director T,"Actor X, Actor W, Actor C, Actor C, Actor I",4.0
Movie 9058,로맨스,Director N,Actor Y,0.1
Movie 8696,SF,Director C,"Actor H, Actor P, Actor P",8.2
Movie 7624,코미디,Director J,"Actor Z, Actor J",0.3
Movie 1637,드라마,Director C,"Actor S, Actor E, Actor P, Actor J, Actor U",0.5
Movie 9838,드라마,Director J,Actor V,5.5
Movie 66,코미디,Director Q,"Actor I, Actor L, Actor H, Actor B, Actor P",8.5
Movie 1532,코미디,Director N,"Actor T, Actor P, Actor W, Actor V",5.0
Movie 9474,스릴러,Director B,"Actor C, Actor M",1.8
Movie 7459,코미디,Director D,"Actor W, Actor V, Actor V, Actor S, Actor U",4.6
Movie 7372,애니메이션,Director R,"Actor G, Actor N",5.9
Movie 2256,SF,Director O,"Actor X, Actor K, Actor G, Actor R, Actor R",4.4
Movie 9583,로맨스,Director S,"Actor U, Actor C, Actor N, Actor G, Actor K",6.5
Movie 4561,액션,Director K,"Actor B, Actor D, Actor E",7.0
Movie 7143,스릴러,Director F,"Actor X, Actor P, Actor D",7.8
Movie 9346,로맨스,Director A,"Actor S, Actor H, Actor K, Actor F, Actor O",4.9
Movie 6314,코미디,Director Y,"Actor M, Actor T, Actor T, Actor V",6.3
Movie 351,드라마,Director Y,"Actor A, Actor Y, Actor F, Actor V, Actor K",8.6
Movie 1807,로맨스,Director V,"Actor C, Actor O, Actor Q",8.6
Movie 9435,로맨스,Director B,"Actor Y, Actor B, Actor T, Actor L, Actor U",1.3
Movie 3818,코미디,Director L,"Actor V, Actor G, Actor C, Actor B",7.8
Movie 6106,코미디,Director Q,"Actor F, Actor N, Actor T, Actor G",1.6
Movie 2959,액션,Director J,"Actor Q, Actor Z, Actor F",2.4
Movie 6525,드라마,Director R,"Actor N, Actor B, Actor T, Actor Y, Actor W",7.2
Movie 1087,드라마,Director L,Actor W,5.6
Movie 3490,애니메이션,Director J,"Actor I, Actor E, Actor C, Actor F, Actor V",1.2
Movie 384,SF,Director V,Actor O,0.7
Movie 5751,SF,Director X,Actor Q,0.6
Movie 17,애니메이션,Director V,"Actor Q, Actor H, Actor P",5.0
Movie 7508,애니메이션,Director L,"Actor A, Actor C",7.2
Movie 3045,코미디,Director A,"Actor X, Actor L, Actor W, Actor H",0.5
Movie 6797,스릴러,Director A,"Actor B, Actor D",0.3
Movie 2282,로맨스,Director Q,"Actor I, Actor W",8.1
Movie 1887,액션,Director Y,"Actor O, Actor Z, Actor N, Actor F, Actor M",0.4
Movie 8947,코미디,Director H,"Actor S, Actor R",1.7
Movie 6499,코미디,Director S,"Actor E, Actor H, Actor B",7.2
Movie 863,스릴러,Director Q,Actor W,3.4
Movie 5412,애니메이션,Director O,"Actor N, Actor I, Actor O, Actor K, Actor G",1.5
Movie 6871,코미디,Director P,"Actor Y, Actor E, Actor Y, Actor W, Actor L",2.9
Movie 1194,드라마,Director D,"Actor W, Actor P, Actor A, Actor T, Actor H",2.7
Movie 9605,드라마,Director V,"Actor Z, Actor V, Actor Z",4.0
Movie 3162,애니메이션,Director P,"Actor T, Actor I, Actor K, Actor L, Actor E",1.0
Movie 8453,로맨스,Director S,Actor X,9.2
Movie 8678,애니메이션,Director E,"Actor U, Actor M, Actor M",2.1
Movie 9994,SF,Director O,"Actor Q, Actor P, Actor V",8.0
Movie 4161,SF,Director R,Actor K,9.8
Movie 279,로맨스,Director Q,"Actor H, Actor P, Actor T, Actor U",4.5
Movie 6079,로맨스,Director Z,"Actor Z, Actor E, Actor G",3.8
Movie 334,코미디,Director P,"Actor C, Actor O, Actor P, Actor L, Actor W",4.3
Movie 4039,코미디,Director W,Actor U,3.4
Movie 2393,코미디,Director L,"Actor P, Actor W",6.0
Movie 6294,로맨스,Director J,"Actor B, Actor Z, Actor A, Actor U",5.0
Movie 291,액션,Director P,"Actor Y, Actor G, Actor W, Actor P, Actor T",6.2
Movie 8451,드라마,Director W,"Actor P, Actor D, Actor M, Actor S, Actor A",1.6
Movie 3323,SF,Director S,"Actor X, Actor Z, Actor O",0.1
Movie 2606,애니메이션,Director D,"Actor E, Actor H",2.2
Movie 4475,애니메이션,Director D,"Actor H, Actor V",1.4
Movie 5273,드라마,Director R,"Actor F, Actor S, Actor T",4.2
Movie 7128,로맨스,Director L,Actor Y,8.7
Movie 5786,액션,Director L,Actor Y,5.0
Movie 8793,액션,Director S,"Actor D, Actor M, Actor E, Actor A",4.3
Movie 8184,액션,Director D,"Actor V, Actor K, Actor I, Actor T, Actor X",4.6
Movie 3404,스릴러,Director D,"Actor K, Actor Z",1.2
Movie 5114,SF,Director W,Actor F,8.0
Movie 5932,액션,Director V,"Actor X, Actor T, Actor N, Actor X, Actor O",0.9
Movie 9773,액션,Director X,"Actor F, Actor Q, Actor O, Actor E",9.2
Movie 318,로맨스,Director Y,"Actor J, Actor R, Actor S, Actor D",0.9
Movie 7630,애니메이션,Director Y,"Actor S, Actor T, Actor O",0.5
Movie 9494,로맨스,Director J,"Actor T, Actor K, Actor E, Actor F, Actor U",6.7
Movie 283,애니메이션,Director Q,Actor N,5.6
Movie 1968,코미디,Director H,"Actor O, Actor T, Actor H",0.6
Movie 3483,액션,Director T,"Actor V, Actor B",7.3
Movie 8072,드라마,Director Q,"Actor E, Actor N, Actor J, Actor P, Actor S",0.8
Movie 1783,스릴러,Director A,"Actor K, Actor U, Actor O, Actor Z, Actor W",6.4
Movie 9461,코미디,Director M,"Actor E, Actor C, Actor S",3.1
Movie 9535,스릴러,Director R,"Actor L, Actor T, Actor A, Actor M, Actor Q",3.4
Movie 1488,로맨스,Director Z,"Actor F, Actor B, Actor U, Actor Y, Actor L",1.1
Movie 3955,SF,Director I,"Actor K, Actor C",6.9
Movie 9427,애니메이션,Director D,"Actor E, Actor T, Actor O, Actor O",5.2
Movie 2939,코미디,Director X,Actor B,7.8
Movie 922,드라마,Director F,"Actor M, Actor C",1.9
Movie 3228,애니메이션,Director U,"Actor G, Actor F, Actor P, Actor Y",7.4
Movie 1905,로맨스,Director G,Actor Z,6.9
Movie 2194,액션,Director C,"Actor V, Actor Q, Actor G",6.9
Movie 9012,SF,Director G,"Actor I, Actor P",7.7
Movie 9259,스릴러,Director M,"Actor Q, Actor N",0.6
Movie 2000,코미디,Director G,"Actor U, Actor J, Actor D, Actor B",7.3
Movie 4536,코미디,Director O,"Actor I, Actor Q, Actor L, Actor L, Actor Y",3.0
Movie 3259,코미디,Director R,"Actor M, Actor E, Actor T",9.9
Movie 5809,애니메이션,Director J,"Actor V, Actor W, Actor S, Actor P, Actor A",8.6
Movie 8903,액션,Director R,"Actor W, Actor S, Actor A, Actor T, Actor V",1.6
Movie 7163,코미디,Director H,"Actor U, Actor J, Actor Z, Actor P",7.9
Movie 5807,스릴러,Director M,Actor K,5.0
Movie 2235,SF,Director S,"Actor J, Actor G, Actor E, Actor J, Actor E",4.1
Movie 4262,코미디,Director K,"Actor H, Actor K",7.6
Movie 1545,스릴러,Director S,Actor P,1.9
Movie 1209,스릴러,Director L,"Actor S, Actor P, Actor W, Actor X, Actor G",6.4
Movie 7684,드라마,Director T,"Actor U, Actor S, Actor B",8.9
Movie 7582,SF,Director Y,"Actor K, Actor L, Actor E",3.9
Movie 3811,애니메이션,Director V,Actor P,5.3
Movie 5826,액션,Director J,"Actor V, Actor G, Actor T, Actor F, Actor O",6.5
Movie 3402,SF,Director E,"Actor K, Actor Z, Actor C",7.6
Movie 9090,드라마,Director A,"Actor W, Actor W, Actor Q, Actor P, Actor C",4.8
Movie 171,애니메이션,Director D,"Actor R, Actor Q, Actor Z",6.2
Movie 513,로맨스,Director V,"Actor W, Actor B",1.7
Movie 6308,드라마,Director N,Actor H,3.6
Movie 5705,SF,Director B,Actor G,8.8
Movie 1356,로맨스,Director M,Actor T,1.0
Movie 2546,드라마,Director J,"Actor L, Actor B, Actor H",9.4
Movie 5469,스릴러,Director L,"Actor H, Actor D, Actor T, Actor H, Actor G",3.1
Movie 4660,액션,Director G,"Actor D, Actor P, Actor F, Actor Y",10.0
Movie 3577,로맨스,Director P,"Actor I, Actor Y, Actor S, Actor K, Actor L",1.5
Movie 8854,애니메이션,Director I,"Actor O, Actor R, Actor E, Actor L",8.1
Movie 2764,스릴러,Director E,"Actor A, Actor N",4.0
Movie 2017,SF,Director N,"Actor L, Actor H, Actor M",8.0
Movie 6090,SF,Director F,"Actor H, Actor T",5.1
Movie 4741,애니메이션,Director O,"Actor F, Actor X",4.3
Movie 9478,코미디,Director S,Actor Y,3.9
Movie 796,애니메이션,Director I,"Actor O, Actor Q",7.1
Movie 4934,액션,Director H,"Actor U, Actor R",8.1
Movie 4871,액션,Director V,"Actor Y, Actor F, Actor Z, Actor V",7.5
Movie 9787,액션,Director Q,"Actor F, Actor M",9.7
Movie 1130,액션,Director P,"Actor J, Actor O",0.7
Movie 3226,애니메이션,Director C,"Actor F, Actor J",3.6
Movie 9321,드라마,Director Z,Actor S,1.4
Movie 5251,애니메이션,Director T,Actor R,2.3
Movie 7969,액션,Director R,Actor J,2.3
Movie 4998,액션,Director Z,"Actor H, Actor H",7.5
Movie 3731,스릴러,Director I,Actor M,7.1
Movie 6548,SF,Director X,Actor N,1.0
Movie 7985,애니메이션,Director G,"Actor P, Actor U, Actor R, Actor C, Actor B",2.5
Movie 9088,애니메이션,Director Z,"Actor B, Actor T, Actor N, Actor C",8.5
Movie 6034,드라마,Director P,Actor L,3.7
Movie 2700,드라마,Director B,Actor Q,2.1
Movie 4946,코미디,Director Z,"Actor G, Actor O, Actor F",9.1
Movie 6756,코미디,Director J,"Actor Y, Actor F",2.1
Movie 2707,드라마,Director O,"Actor Q, Actor M, Actor I",2.2
Movie 7141,SF,Director Y,"Actor W, Actor D",1.1
Movie 6040,스릴러,Director A,Actor H,3.5
Movie 975,코미디,Director I,"Actor V, Actor Q, Actor D",1.3
Movie 9359,애니메이션,Director J,"Actor O, Actor Y, Actor A, Actor S",6.4
Movie 8143,SF,Director E,"Actor O, Actor G, Actor Y, Actor B",8.6
Movie 7748,스릴러,Director R,"Actor Q, Actor N, Actor U",3.2
Movie 143,로맨스,Director T,Actor X,8.4
Movie 5889,드라마,Director D,"Actor C, Actor H, Actor Y, Actor Y",4.4
Movie 403,SF,Director X,"Actor Z, Actor A, Actor J",4.3
Movie 266,액션,Director V,Actor P,2.6
Movie 4292,애니메이션,Director G,"Actor M, Actor G",9.5
Movie 8953,코미디,Director K,Actor E,3.6
Movie 1154,드라마,Director Q,Actor A,0.9
Movie 900,드라마,Director H,"Actor H, Actor A, Actor G, Actor M",9.4
Movie 1515,스릴러,Director F,"Actor O, Actor R, Actor B, Actor U",8.6
Movie 2808,애니메이션,Director P,"Actor A, Actor M",1.1
Movie 8972,코미디,Director L,Actor X,1.5
Movie 7047,코미디,Director O,"Actor Q, Actor V, Actor E",4.8
Movie 5233,SF,Director D,Actor P,3.6
Movie 6507,SF,Director K,"Actor V, Actor J, Actor C, Actor K, Actor O",3.6
Movie 8571,코미디,Director S,"Actor B, Actor A, Actor I, Actor S",9.1
Movie 3474,애니메이션,Director M,"Actor N, Actor M, Actor T, Actor O, Actor W",0.8
Movie 1173,드라마,Director N,"Actor J, Actor Y, Actor L, Actor P",4.9
Movie 1656,애니메이션,Director K,"Actor I, Actor J, Actor C",8.8
Movie 7042,코미디,Director Y,Actor P,1.8
Movie 6842,액션,Director B,"Actor T, Actor E, Actor F",5.7
Movie 4657,SF,Director W,"Actor E, Actor S, Actor K, Actor Q, Actor E",1.0
Movie 294,액션,Director Y,"Actor J, Actor V, Actor M, Actor C",1.3
Movie 9207,드라마,Director D,"Actor T, Actor W, Actor M, Actor O, Actor X",3.1
Movie 751,스릴러,Director T,"Actor L, Actor Q, Actor H",6.3
Movie 5404,로맨스,Director P,"Actor N, Actor R",8.7
Movie 4741,코미디,Director W,"Actor V, Actor F, Actor C, Actor R",0.9
Movie 9279,로맨스,Director J,"Actor G, Actor V, Actor S, Actor C",2.5
Movie 687,애니메이션,Director B,Actor Y,2.5
Movie 3619,SF,Director F,"Actor O, Actor T",7.9
Movie 3203,액션,Director A,"Actor Y, Actor A, Actor D",5.3
Movie 3747,SF,Director N,"Actor R, Actor V, Actor W",8.9
Movie 2696,드라마,Director K,"Actor L, Actor S, Actor P, Actor Y, Actor Z",8.5
Movie 7498,SF,Director Q,"Actor W, Actor J, Actor P",2.4
Movie 8400,액션,Director S,"Actor T, Actor E, Actor G",3.3
Movie 6381,드라마,Director S,"Actor B, Actor C",1.8
Movie 8647,드라마,Director P,"Actor W, Actor F, Actor R, Actor L, Actor L",9.3
Movie 3586,로맨스,Director Q,"Actor Q, Actor A, Actor J, Actor A",0.1
Movie 9831,스릴러,Director F,"Actor V, Actor Z, Actor C, Actor E, Actor E",8.7
Movie 5365,로맨스,Director J,"Actor Q, Actor R, Actor G",8.9
Movie 9960,로맨스,Director G,Actor P,6.7
Movie 1162,애니메이션,Director I,"Actor R, Actor M, Actor K, Actor E",5.6
Movie 1299,액션,Director Y,"Actor W, Actor A, Actor T, Actor X",2.9
Movie 1588,로맨스,Director D,"Actor G, Actor J, Actor L, Actor W, Actor A",8.1
Movie 7187,코미디,Director Y,"Actor S, Actor M, Actor M, Actor U",4.4
Movie 578,SF,Director V,"Actor S, Actor S",9.4
Movie 1306,로맨스,Director Q,"Actor S, Actor J",5.8
Movie 1939,SF,Director X,"Actor R, Actor Q, Actor O",1.6
Movie 1914,액션,Director S,"Actor O, Actor F, Actor P, Actor L",8.1
Movie 6544,애니메이션,Director Z,"Actor O, Actor W",7.8
Movie 9712,드라마,Director K,"Actor Y, Actor I, Actor Y",9.4
Movie 8187,스릴러,Director J,"Actor N, Actor X",6.3
Movie 5435,드라마,Director V,Actor G,0.8
Movie 6376,코미디,Director A,"Actor M, Actor R",1.5
Movie 2585,애니메이션,Director Y,"Actor J, Actor N, Actor Y",6.1
Movie 9291,드라마,Director E,"Actor C, Actor O, Actor O, Actor U, Actor E",7.4
Movie 650,애니메이션,Director W,"Actor U, Actor D",6.8
Movie 4990,SF,Director F,Actor K,2.4
Movie 9021,액션,Director I,"Actor G, Actor P",0.3
Movie 2698,스릴러,Director X,"Actor O, Actor R, Actor T",2.9
Movie 9506,액션,Director J,"Actor Z, Actor A, Actor I, Actor I",0.4
Movie 1452,로맨스,Director U,Actor A,8.8
Movie 7495,애니메이션,Director U,"Actor Z, Actor M",9.3
Movie 4852,스릴러,Director F,"Actor H, Actor W, Actor C, Actor K, Actor J",0.7
Movie 6675,애니메이션,Director N,Actor O,0.3
Movie 7119,스릴러,Director G,Actor Z,9.3
Movie 9009,애니메이션,Director J,"Actor Z, Actor Y, Actor G, Actor J",3.5
Movie 2016,드라마,Director Y,"Actor Z, Actor Y, Actor Q, Actor N",5.6
Movie 9340,스릴러,Director I,"Actor W, Actor U, Actor H, Actor G, Actor X",7.2
Movie 8231,애니메이션,Director E,"Actor T, Actor M, Actor P, Actor U, Actor X",5.4
Movie 3613,코미디,Director Q,"Actor E, Actor W, Actor X",8.8
Movie 7359,스릴러,Director A,"Actor T, Actor Z, Actor F, Actor U, Actor B",8.4
Movie 1349,코미디,Director A,"Actor O, Actor Y, Actor U",7.6
Movie 1101,애니메이션,Director V,"Actor U, Actor U",0.6
Movie 9323,스릴러,Director A,"Actor N, Actor Y, Actor O, Actor B, Actor A",6.6
Movie 4961,드라마,Director L,Actor J,9.7
Movie 5367,애니메이션,Director B,"Actor G, Actor M, Actor W",9.5
Movie 72,로맨스,Director N,Actor U,8.8
Movie 2588,SF,Director J,"Actor D, Actor R, Actor R, Actor A, Actor N",7.9
Movie 2097,드라마,Director D,"Actor F, Actor T, Actor Y, Actor W",1.2
Movie 8570,애니메이션,Director O,"Actor V, Actor U, Actor B, Actor X, Actor P",1.4
Movie 2758,드라마,Director P,"Actor S, Actor W, Actor I, Actor O",7.7
Movie 8456,로맨스,Director P,"Actor N, Actor O, Actor D, Actor P",2.2
Movie 9740,SF,Director T,"Actor R, Actor R, Actor A",6.0
Movie 2634,애니메이션,Director T,"Actor R, Actor O, Actor F, Actor H",3.0
Movie 4860,로맨스,Director M,"Actor D, Actor T",0.0
Movie 4869,SF,Director T,Actor N,5.3
Movie 8922,액션,Director P,"Actor I, Actor B, Actor P, Actor U",5.0
Movie 5151,로맨스,Director S,Actor W,8.0
Movie 6134,코미디,Director M,"Actor D, Actor Z, Actor M",2.5
Movie 8230,스릴러,Director N,Actor D,3.2
Movie 6835,로맨스,Director H,"Actor Y, Actor Q, Actor X",7.2
Movie 150,스릴러,Director M,"Actor W, Actor A, Actor G, Actor Z, Actor V",4.4
Movie 8563,로맨스,Director X,Actor W,8.7
Movie 4331,드라마,Director P,"Actor U, Actor Q, Actor Q, Actor G, Actor P",1.5
Movie 6680,SF,Director D,"Actor D, Actor V, Actor B",1.4
Movie 4168,SF,Director U,Actor Y,1.8
Movie 3198,코미디,Director A,Actor L,7.3
Movie 9939,스릴러,Director H,Actor J,7.1
Movie 361,SF,Director E,"Actor C, Actor J, Actor W, Actor K, Actor O",5.6
Movie 3735,스릴러,Director N,"Actor C, Actor C",1.1
Movie 6377,애니메이션,Director C,"Actor V, Actor Y, Actor K",1.0
Movie 8627,액션,Director J,"Actor A, Actor B, Actor P, Actor Y, Actor K",10.0
Movie 6470,애니메이션,Director H,"Actor P, Actor Y",3.6
Movie 5052,액션,Director T,Actor Q,5.8
Movie 9903,스릴러,Director D,"Actor A, Actor J, Actor Z",7.8
Movie 9522,애니메이션,Director J,Actor X,0.4
Movie 7880,액션,Director E,"Actor G, Actor Z, Actor V",4.9
Movie 8353,드라마,Director S,"Actor B, Actor F",8.2
Movie 3724,코미디,Director T,"Actor O, Actor F, Actor Z, Actor H",9.0
Movie 9800,액션,Director R,"Actor T, Actor X, Actor D, Actor Y",0.4
Movie 4761,드라마,Director U,"Actor F, Actor E, Actor F, Actor P, Actor V",5.1
Movie 900,애니메이션,Director Z,"Actor T, Actor Z, Actor Z",5.4
Movie 5542,코미디,Director Z,"Actor F, Actor U",2.2
Movie 7329,로맨스,Director T,"Actor C, Actor G, Actor X, Actor O, Actor V",8.3
Movie 4195,SF,Director P,"Actor D, Actor T, Actor N, Actor A, Actor C",2.1
Movie 1717,드라마,Director L,"Actor U, Actor V, Actor H",7.7
Movie 3566,로맨스,Director F,"Actor C, Actor J",7.7
Movie 1719,애니메이션,Director E,"Actor R, Actor G, Actor Q",6.2
Movie 7820,SF,Director P,"Actor Q, Actor K, Actor A",2.8
Movie 3930,SF,Director M,"Actor Z, Actor R",2.6
Movie 2950,코미디,Director C,"Actor B, Actor R, Actor K",2.8
Movie 4123,SF,Director O,"Actor T, Actor S, Actor O, Actor E, Actor J",7.7
Movie 7121,액션,Director T,"Actor Z, Actor A, Actor G",6.6
Movie 7059,SF,Director Y,"Actor C, Actor O",5.3
Movie 9256,SF,Director M,"Actor D, Actor S, Actor H, Actor F",2.2
Movie 4399,코미디,Director B,"Actor Y, Actor C, Actor M, Actor U",5.5
Movie 6102,코미디,Director T,"Actor F, Actor W",3.6
Movie 7263,코미디,Director P,"Actor D, Actor R",9.7
Movie 9950,SF,Director L,"Actor P, Actor P",6.4
Movie 3551,액션,Director N,"Actor P, Actor J, Actor X",3.8
Movie 8235,드라마,Director U,"Actor T, Actor E",6.6
Movie 5652,코미디,Director B,"Actor W, Actor G, Actor Q, Actor R, Actor F",4.5
Movie 5411,로맨스,Director O,Actor K,6.0
Movie 3584,애니메이션,Director Z,"Actor E, Actor J",6.7
Movie 6889,애니메이션,Director M,"Actor J, Actor N, Actor N, Actor F",5.0
Movie 511,SF,Director V,"Actor S, Actor H, Actor I",2.4
Movie 1386,드라마,Director C,"Actor G, Actor N, Actor U, Actor V, Actor F",1.7
Movie 6291,액션,Director G,"Actor P, Actor C, Actor V",9.0
Movie 8864,액션,Director W,"Actor N, Actor X, Actor C, Actor I",2.8
Movie 6514,애니메이션,Director S,"Actor C, Actor R",6.2
Movie 1046,액션,Director E,Actor Y,8.6
Movie 7183,스릴러,Director C,Actor K,7.3
Movie 9923,SF,Director A,"Actor R, Actor J, Actor Q, Actor E, Actor I",9.0
Movie 3615,애니메이션,Director S,"Actor Q, Actor U",7.4
Movie 3807,코미디,Director L,"Actor I, Actor J, Actor E, Actor H, Actor G",2.8
Movie 4019,로맨스,Director A,"Actor N, Actor Z, Actor B, Actor X",8.2
Movie 9925,코미디,Director N,"Actor R, Actor X",4.1
Movie 9023,스릴러,Director U,"Actor O, Actor W, Actor T, Actor P, Actor D",1.8
Movie 4350,코미디,Director F,"Actor H, Actor P, Actor Y",5.3
Movie 7582,스릴러,Director E,"Actor I, Actor T, Actor H",5.7
Movie 2548,스릴러,Director W,"Actor E, Actor P, Actor F",7.9
Movie 7761,SF,Director J,Actor R,0.8
Movie 6259,코미디,Director S,"Actor K, Actor R, Actor S, Actor J, Actor C",1.3
Movie 9139,드라마,Director M,Actor H,3.8
Movie 3343,애니메이션,Director N,"Actor S, Actor G, Actor Y",6.7
Movie 9392,코미디,Director E,Actor R,5.0
Movie 3024,스릴러,Director Y,"Actor U, Actor K, Actor W, Actor D",9.1
Movie 1412,애니메이션,Director N,"Actor K, Actor Y, Actor Q",8.1
Movie 4879,코미디,Director F,"Actor U, Actor D",6.6
Movie 708,스릴러,Director Y,"Actor B, Actor Q, Actor J, Actor X, Actor Y",5.4
Movie 6940,스릴러,Director B,"Actor K, Actor V",8.4
Movie 7001,로맨스,Director H,"Actor U, Actor L, Actor W, Actor Z, Actor A",8.9
Movie 134,코미디,Director B,Actor P,4.8
Movie 8932,드라마,Director O,"Actor U, Actor B, Actor R",8.7
Movie 1845,코미디,Director Z,"Actor K, Actor N, Actor K, Actor N",8.0
Movie 1919,코미디,Director R,"Actor Q, Actor H, Actor E",9.1
Movie 2567,액션,Director X,"Actor P, Actor M, Actor T, Actor C",7.6
Movie 558,코미디,Director X,"Actor X, Actor Z, Actor Z",3.4
Movie 3327,코미디,Director Y,"Actor V, Actor J",4.9
Movie 6697,코미디,Director H,"Actor L, Actor V, Actor I, Actor W, Actor F",6.6
Movie 2365,스릴러,Director R,"Actor I, Actor J, Actor O, Actor P, Actor T",2.9
Movie 4978,애니메이션,Director N,"Actor J, Actor W, Actor S, Actor V",5.4
Movie 1604,애니메이션,Director L,Actor P,7.1
Movie 7068,드라마,Director J,"Actor Q, Actor L, Actor G",1.5
Movie 5433,코미디,Director D,"Actor W, Actor T, Actor A, Actor Z",9.7
Movie 4648,스릴러,Director S,"Actor J, Actor Z, Actor L, Actor F",7.2
Movie 4832,로맨스,Director M,"Actor C, Actor W, Actor P, Actor Y",7.1
Movie 1434,액션,Director Y,"Actor T, Actor T, Actor Z",6.2
Movie 4951,액션,Director G,"Actor R, Actor Z, Actor W, Actor A",4.8
Movie 9946,SF,Director Q,"Actor X, Actor M, Actor G",9.4
Movie 6051,로맨스,Director L,"Actor U, Actor U, Actor D, Actor I",3.4
Movie 8096,액션,Director H,"Actor I, Actor H, Actor C, Actor N, Actor V",6.0
Movie 5224,SF,Director A,"Actor W, Actor Q, Actor V, Actor E",0.9
Movie 3186,액션,Director Z,"Actor I, Actor I, Actor R, Actor F, Actor Z",8.5
Movie 6827,드라마,Director K,Actor O,2.4
Movie 6989,애니메이션,Director Z,"Actor X, Actor J, Actor K, Actor U",3.5
Movie 4437,드라마,Director B,"Actor I, Actor A, Actor V, Actor H, Actor B",4.7
Movie 2030,SF,Director A,"Actor M, Actor R",5.6
Movie 5187,SF,Director F,"Actor H, Actor A, Actor A",1.8
Movie 1548,스릴러,Director J,"Actor G, Actor I, Actor M",3.3
Movie 4327,로맨스,Director L,"Actor R, Actor Y, Actor B",3.0
Movie 987,드라마,Director P,"Actor S, Actor F, Actor U, Actor A, Actor C",9.5
Movie 1934,스릴러,Director Y,"Actor A, Actor N, Actor V, Actor M",6.1
Movie 8802,액션,Director M,"Actor N, Actor G, Actor H, Actor G",7.5
Movie 5142,드라마,Director Q,Actor Y,5.3
Movie 8251,로맨스,Director Z,"Actor Z, Actor Y, Actor U, Actor J",8.1
Movie 7477,스릴러,Director Z,"Actor K, Actor Z, Actor A",4.8
Movie 7493,로맨스,Director E,"Actor M, Actor S, Actor I",2.7
Movie 2873,드라마,Director V,"Actor K, Actor F, Actor K",3.1
Movie 7192,드라마,Director U,"Actor M, Actor J, Actor M, Actor U, Actor L",0.8
Movie 816,로맨스,Director O,"Actor C, Actor F, Actor K, Actor Z, Actor S",3.7
Movie 1568,스릴러,Director L,"Actor H, Actor Y, Actor H, Actor P, Actor O",3.6
Movie 2283,애니메이션,Director S,"Actor Q, Actor R, Actor D, Actor L",8.7
Movie 3688,드라마,Director O,Actor W,0.3
Movie 2334,액션,Director Z,"Actor X, Actor H",1.5
Movie 1539,SF,Director R,"Actor U, Actor P, Actor I, Actor V",1.7
Movie 5943,로맨스,Director N,"Actor J, Actor A, Actor R, Actor C, Actor H",6.8
Movie 2869,로맨스,Director Y,Actor F,0.8
Movie 8951,로맨스,Director I,"Actor H, Actor V, Actor J",6.8
Movie 8917,코미디,Director L,"Actor C, Actor R",5.6
Movie 6040,드라마,Director K,"Actor D, Actor E, Actor W, Actor A",3.4
